,0,1,2,3
0,750.0,745.0,740.0,735.0
1,730.0737070445552,725.072745925945,720.0717910119156,715.0708423051325
2,710.1436207014233,705.141723027459,700.1398377767252,695.1379649544685
3,690.2098389448884,685.2070293391248,680.2042383889474,675.2014661020985
4,670.2724599873778,665.2687631322287,660.2650911783617,655.2614441359287
5,650.3315822737092,645.3270229089972,640.3224947042346,635.317997671897
6,630.3873044752947,625.3819073967903,620.3765477495035,615.3712255481465
7,610.4397254843055,605.433515542256,600.4273493149199,595.4212268191583
8,590.4889444077942,585.4819465054429,580.4749986131525,575.4681007498451
9,570.5350605617788,565.5272996538745,560.5195950628521,555.5119468096065
10,550.5781734652886,545.569674556585,540.5612382826779,535.5528646663456
11,530.6183828343723,525.609170978119,520.6000280852877,515.5909541804506
12,510.65578857606937,505.64588887249363,500.6360644712916,495.62631539873934
13,490.69049078234735,485.67992837712694,480.66944762317144,475.6590485483704
14,470.7225897240038,465.7113898067315,460.7002778991663,455.68925403072006
15,450.7521858445354,445.74037364717566,440.7286558271253,435.71703241522744
16,430.77937975397504,425.76698054931234,420.754682098329,415.7424844332076
17,410.8042722226977,405.79131132277746,400.77845756128,395.7657109716352
18,390.8269641751965,385.81346692975865,380.8000832154644,375.7868130668984
19,370.8475566838297,365.83354847873517,360.81966020508474,355.80589189852503
20,350.8661509625401,345.85165721819044,340.83728981276596,335.82304878288187
21,330.88284836054765,325.8678945302984,320.85307345323497,315.83838516684784
22,310.8977503560169,305.88236192458425,300.8671126669757,295.85200262146293
23,290.91095854969956,285.89516103156166,280.87950911385997,275.8640028355535
24,270.9225746585543,265.9063935963465,260.89036456675615,255.8744876093351
25,250.93270050934436,245.91616147224926,240.89978090511582,235.88355884799424
26,230.9414380322141,225.92456661434656,220.90786010854072,215.89131855525017
27,210.94888925424615,205.9317110730335,200.91470425033003,195.8978688268978
28,190.95515629299973,185.93769698755756,180.9204154910102,175.903311844333
29,170.9603413500319,165.94262657953553,160.9250960718477,155.90774986806144
30,150.96454670440244,145.94660214645475,140.9288483083463,135.9112852311922
31,130.96787470616388,125.94972605515949,120.93177458373013,115.91402033291742
32,110.9704277698379,105.952100735324,100.93397734241358,95.91605763197892
33,90.97230836787895,85.95382867291335,80.93555908345918,75.91749964012347
34,70.97361902412689,65.95501240363322,60.936622354024855,55.91844891554752
35,50.974462307249226,45.95575450637003,40.937269742801746,35.9190080563328
36,30.97494082417474,25.956157596622337,20.93760387344375,15.919279693873989
37,10.975157213518628,5.956324319924558,0.937727397989665,-4.080633513700562
38,-9.024785860995262,-14.043642654732924,-19.06225700971855,-24.0806288881123
39,-29.02478571712376,-34.04364064149334,-39.0622466606257,-44.08060373752278
40,-49.024739660692184,-54.04356694422253,-59.06213885705343,-64.0804553631246
41,-69.02454499218679,-74.0433188631019,-79.06183089929235,-84.08008106573364
42,-89.02409901334687,-94.0427937012202,-99.06122009219801,-104.07937815238557
43,-109.02329903376202,-114.04188877117164,-119.06020375178312,-124.07824394292736
44,-129.02204237746255,-134.04050140164506,-139.0586792118098,-144.076575776609
45,-149.0202263895108,-154.0385289440147,-159.05654383037853,-164.07427101867154
46,-169.01774844258824,-174.0358687789262,-179.05369499651317,-184.07122706693093
47,-189.01450594357777,-194.03241832287753,-199.0500301367404,-204.06734135835575
48,-209.01039634014018,-214.02807503479383,-219.0454467216625,-224.06251137563845
49,-229.00531712728326,-234.0227364225944,-239.0398422725227,-244.05663465375818
50,-248.99916585392253,-254.01630004975112,-259.0331143677609,-264.04960878653435
51,-268.99184012943226,-274.00866354183694,-279.0251606495596,-284.04133143316955
52,-288.9832376301856,-293.99972459306304,-299.01587883037797,-304.0317003247807
53,-308.9732561060826,-313.98938097280364,-319.0051666994734,-324.020613270917
54,-328.96179338706486,-333.97753053210704,-338.9929221294089,-344.00796816606413
55,-348.94874738961573,-353.9640712101919,-358.97904308254556,-363.9936629961321
56,-368.9340161232445,-373.94890104092764,-378.9634276175186,-383.97759584492735
57,-388.9174976969539,-393.9319181592972,-398.94597389569566,-403.9596649006064
58,-408.8990903256895,-413.9130208078417,-418.9265801876166,-423.93976846211086
59,-428.8786923367694,-433.8921073430851,-438.9051448794133,-443.9178049455818
60,-448.8562021762938,-453.86907624193867,-458.88156647920823,-463.893672890753
61,-468.83151841553257,-473.8438261080827,-478.855743623491,-483.86727096732164
62,-488.80453975729023,-493.8162556783255,-498.82757508347106,-503.8384979812952
63,-508.7751650422468,-513.7862638289383,-518.7969597714064,-523.8072528813133
64,-528.7432932552733,-533.7537495819643,-538.7637967469057,-543.7734347649439
65,-548.7088235317216,-553.718612111501,-558.7279852232048,-563.7369428849522
66,-568.6716551636857,-573.6807507499557,-578.6894245734138,-583.697676655541
67,-588.631687606236,-593.640064994271,-598.6480143367363,-603.6555356585621
68,-608.5888204836224,-613.5964545121217,-618.6036542246575,-623.610419649697
69,-628.5429535954476,-633.5498191480791,-638.5562441271014,-643.5622285646059
70,-648.4939869228083,-653.5000589297447,-658.5056841185561,-663.5108625250447
71,-668.4418206344036,-673.4470740738496,-678.4518744641648,-683.4562218449472
72,-688.386355092609,-693.3907649923208,-698.3947156257824,-703.3982070364737
73,-708.3274908595163,-713.3310322983106,-718.3341082679975,-723.3367188160229
74,-728.2651287029361,-733.2677768121914,-738.2699532641167,-743.2716581102075
75,-748.1991696023645,,,
